book,genre,rank,ngram,count
OnTheTrailOfTheSpacePirates,sci-fi,100,answered strong,7
Frankenstein,horror,1,old man,34
Frankenstein,horror,2,chapter chapter,23
Frankenstein,horror,3,native country,15
Frankenstein,horror,4,natural philosophy,14
Frankenstein,horror,5,taken place,13
Frankenstein,horror,6,fellow creatures,12
Frankenstein,horror,7,looked upon,10
Frankenstein,horror,8,long time,9
Frankenstein,horror,9,short time,9
Frankenstein,horror,10,young man,9
Frankenstein,horror,11,one another,9
Frankenstein,horror,12,de lacey,9
Frankenstein,horror,13,many months,8
Frankenstein,horror,14,first time,8
Frankenstein,horror,15,every day,8
Frankenstein,horror,16,life death,8
Frankenstein,horror,17,poor girl,8
Frankenstein,horror,18,one day,8
Frankenstein,horror,19,mont blanc,8
Frankenstein,horror,20,several hours,8
Frankenstein,horror,21,take place,7
Frankenstein,horror,22,many hours,7
Frankenstein,horror,23,two years,7
Frankenstein,horror,24,human beings,7
Frankenstein,horror,25,passed away,7
Frankenstein,horror,26,two months,7
Frankenstein,horror,27,never saw,6
Frankenstein,horror,28,two days,6
Frankenstein,horror,29,cornelius agrippa,6
Frankenstein,horror,30,next morning,6
Frankenstein,horror,31,native town,6
Frankenstein,horror,32,yet still,6
Frankenstein,horror,33,nearly two,6
Frankenstein,horror,34,ever since,6
Frankenstein,horror,35,poor william,6
Frankenstein,horror,36,first saw,6
Frankenstein,horror,37,dear sister,5
Frankenstein,horror,38,human nature,5
Frankenstein,horror,39,well known,5
Frankenstein,horror,40,young woman,5
Frankenstein,horror,41,cannot describe,5
Frankenstein,horror,42,many years,5
Frankenstein,horror,43,one time,5
Frankenstein,horror,44,years age,5
Frankenstein,horror,45,countenance expressed,5
Frankenstein,horror,46,passed thus,5
Frankenstein,horror,47,great god,5
Frankenstein,horror,48,shall ever,5
Frankenstein,horror,49,every one,5
Frankenstein,horror,50,pressed upon,5
Frankenstein,horror,51,state mind,5
Frankenstein,horror,52,died away,5
Frankenstein,horror,53,rang ears,5
Frankenstein,horror,54,gentle manners,5
Frankenstein,horror,55,took place,5
Frankenstein,horror,56,new scene,5
Frankenstein,horror,57,wedding night,5
Frankenstein,horror,58,letter saville,4
Frankenstein,horror,59,saville england,4
Frankenstein,horror,60,well acquainted,4
Frankenstein,horror,61,six years,4
Frankenstein,horror,62,years ago,4
Frankenstein,horror,63,august th,4
Frankenstein,horror,64,gigantic stature,4
Frankenstein,horror,65,good god,4
Frankenstein,horror,66,every minute,4
Frankenstein,horror,67,every hope,4
Frankenstein,horror,68,one man,4
Frankenstein,horror,69,hands eyes,4
Frankenstein,horror,70,may easily,4
Frankenstein,horror,71,three months,4
Frankenstein,horror,72,several months,4
Frankenstein,horror,73,given life,4
Frankenstein,horror,74,one among,4
Frankenstein,horror,75,human frame,4
Frankenstein,horror,76,whose existence,4
Frankenstein,horror,77,departure ingolstadt,4
Frankenstein,horror,78,ardently desired,4
Frankenstein,horror,79,one one,4
Frankenstein,horror,80,chemical instruments,4
Frankenstein,horror,81,gave place,4
Frankenstein,horror,82,human mind,4
Frankenstein,horror,83,drew near,4
Frankenstein,horror,84,drew nearer,4
Frankenstein,horror,85,dear frankenstein,4
Frankenstein,horror,86,dear cousin,4
Frankenstein,horror,87,one first,4
Frankenstein,horror,88,snowy mountains,4
Frankenstein,horror,89,directed steps,4
Frankenstein,horror,90,several days,4
Frankenstein,horror,91,fellow beings,4
Frankenstein,horror,92,thousand times,4
Frankenstein,horror,93,afterwards found,4
Frankenstein,horror,94,near spot,4
Frankenstein,horror,95,give account,4
Frankenstein,horror,96,last moments,4
Frankenstein,horror,97,came eyes,4
Frankenstein,horror,98,gave way,4
Frankenstein,horror,99,directed towards,4
Frankenstein,horror,100,ruined castles,4
AutobiographyOfBenjaminFranklin,autobiography,1,new york,38
AutobiographyOfBenjaminFranklin,autobiography,2,printing house,28
AutobiographyOfBenjaminFranklin,autobiography,3,poor richard,25
AutobiographyOfBenjaminFranklin,autobiography,4,new england,20
AutobiographyOfBenjaminFranklin,autobiography,5,good deal,18
AutobiographyOfBenjaminFranklin,autobiography,6,thousand pounds,18
AutobiographyOfBenjaminFranklin,autobiography,7,young man,16
AutobiographyOfBenjaminFranklin,autobiography,8,one another,13
AutobiographyOfBenjaminFranklin,autobiography,9,several sorts,13
AutobiographyOfBenjaminFranklin,autobiography,10,one hundred,12
AutobiographyOfBenjaminFranklin,autobiography,11,public affairs,11
AutobiographyOfBenjaminFranklin,autobiography,12,richard says,11
AutobiographyOfBenjaminFranklin,autobiography,13,hundred pounds,10
AutobiographyOfBenjaminFranklin,autobiography,14,paper money,10
AutobiographyOfBenjaminFranklin,autobiography,15,let know,10
AutobiographyOfBenjaminFranklin,autobiography,16,richard almanac,9
AutobiographyOfBenjaminFranklin,autobiography,17,many years,9
AutobiographyOfBenjaminFranklin,autobiography,18,time time,9
AutobiographyOfBenjaminFranklin,autobiography,19,eighteenth century,8
AutobiographyOfBenjaminFranklin,autobiography,20,years age,8
AutobiographyOfBenjaminFranklin,autobiography,21,miss read,8
AutobiographyOfBenjaminFranklin,autobiography,22,one day,8
AutobiographyOfBenjaminFranklin,autobiography,23,much whistle,8
AutobiographyOfBenjaminFranklin,autobiography,24,england courant,7
AutobiographyOfBenjaminFranklin,autobiography,25,royal society,7
AutobiographyOfBenjaminFranklin,autobiography,26,next day,7
AutobiographyOfBenjaminFranklin,autobiography,27,sir william,7
AutobiographyOfBenjaminFranklin,autobiography,28,gave great,7
AutobiographyOfBenjaminFranklin,autobiography,29,printing office,7
AutobiographyOfBenjaminFranklin,autobiography,30,public service,6
AutobiographyOfBenjaminFranklin,autobiography,31,plan union,6
AutobiographyOfBenjaminFranklin,autobiography,32,father abraham,6
AutobiographyOfBenjaminFranklin,autobiography,33,four years,6
AutobiographyOfBenjaminFranklin,autobiography,34,fifty years,6
AutobiographyOfBenjaminFranklin,autobiography,35,men women,6
AutobiographyOfBenjaminFranklin,autobiography,36,next morning,6
AutobiographyOfBenjaminFranklin,autobiography,37,little money,6
AutobiographyOfBenjaminFranklin,autobiography,38,great advantage,6
AutobiographyOfBenjaminFranklin,autobiography,39,great use,6
AutobiographyOfBenjaminFranklin,autobiography,40,market street,6
AutobiographyOfBenjaminFranklin,autobiography,41,near market,6
AutobiographyOfBenjaminFranklin,autobiography,42,colonel french,6
AutobiographyOfBenjaminFranklin,autobiography,43,every day,6
AutobiographyOfBenjaminFranklin,autobiography,44,great deal,6
